countryid,genreid,actorid,showid,showname,description,numberofreviews,averagerating,isdiscontinued,actorname,genrename,countryname
1,1,1,1,The big bang theory,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicist shows them how little they know about life outside of the laboratory.,158,3,t,Jim Parsons,comedy,US
1,1,2,1,The big bang theory,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicist shows them how little they know about life outside of the laboratory.,158,3,t,Kaley Cuoco,comedy,US
1,3,3,2,The Flash,"After being struck by lightning, Barry Allen weaks up from his coma to discover he has been given the power of super speed, becoming the next Flash, fighting crime in Central City.",100,3,f,Grant Gustin,superhero,US
1,3,4,2,The Flash,"After being struck by lightning, Barry Allen weaks up from his coma to discover he has been given the power of super speed, becoming the next Flash, fighting crime in Central City.",100,3,f,Cardice Patton,superhero,US
1,4,5,3,Stranger Things,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",4279,2,t,Finn Wolfhard,science fiction,US
1,4,6,3,Stranger Things,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",4279,2,t,Winona Ryder,science fiction,US
1,3,7,4,Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",414,3,t,David Ramsey,superhero,US
1,3,8,4,Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",414,3,t,Katie Cassidy,superhero,US
1,6,9,5,Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family future.,70,3,t,Aaron Paul,crime,US
1,6,10,5,Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family future.,70,3,t,Anna Gunn,crime,US
1,2,11,6,Rick And Morty,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,6,4,f,Justin Roiland,animated,US
1,2,12,6,Rick And Morty,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,6,4,f,Spencer Grammer,animated,US
1,5,13,7,House Of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,1,3,t,Michel Gill,drama,US
1,5,14,7,House Of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,1,3,t,Kevin Spacey,drama,US
1,5,15,8,House M.D.,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,1,4,t,Hugh Laurice,drama,US
1,5,16,8,House M.D.,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,1,4,t,Omar Epps,drama,US
1,2,17,9,South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",4,1,f,Trey Parker,animated,US
1,2,18,9,South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",4,1,f,Matt Stone,animated,US
1,2,19,10,Family Guy,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",6,3,f,Alex Bonstein,animated,US
1,2,20,10,Family Guy,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",6,3,f,Seth Green,animated,US
